TABLE S1,,HELP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b_d,"base_distance
b_d = ∥p#5) - p(#17)∥  for hand",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f_cun,f_cun= 1/3 * b_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,t_d,Total_distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p_?,coordinates of acupoint name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p (# $?),coordinates of keypoint number $? from MediaPipe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p($fraction_{$1,$2})",coordinates for fraction distance between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p(mid_{$1,$2})",coordinates for middle between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"d⊥(p$1, p$2, p$3, distance)",Perpendicular distance from the point $3 that is between  points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,||.||,the norm (magnitude) of a vector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,*, scalar-vector multiplication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_x,Represents the coordinates along the x-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_y,Represents the coordinates along the y-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/,devision,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI-1,Shangyang,Large Intestine,"On the index finger, radial to the distalphalanx, 0.1 f-cun proximal-lateral to theradial corner of the index fingernail, at theintersection of the vertical line of the radialborder of the fingernail and the horizontalline of the base of the index fingernail.","pain, stagnation, especially at the opposite end of the channel, for eye and ear pain and inflammation, toothache.
Bleed for high fever, coma ","p_LI1= d⊥(p(#7), p(#8), p(2/3_{#7,#8}), -1/4 *f_cun)","p_LI1= d⊥(p(#7), p(#8), p(2/3_{#7,#8}), 1/4 *f_cun)",,,,,,,,,,,,,,,,,,,,,,,,,
LI-2,Erjian,Large Intestine,"On the index finger, in the depression distalto the radial side of the second metacarpophalangeal joint, at the border between thered and white flesh.","Shown to increase saliva production and to effect the areas of the brain involved in saliva production. Useful for dry mouth (xerostomia).
Sedation Point and Ying Spring Point, treats excess and clears heat from opposite end of the channel, for toothache, eye redness and pain, gum inflammation, sore throat.","p_LI2=p(1/6_{#5,#6})","p_LI2=p(1/6_{#5,#6})",,,,,,,,,,,,,,,,,,,,,,,,,
LI-3,Sanjian,Large Intestine,"On the dorsum of the hand, in the depression radial and proximal to the secondmetacarpophalangeal joint.","Expel wind and heat particularly from the throat, teeth, mouth, face and eyes.
Diarrhea.  ","p_LI3=p(7/6_{#0,#5})","p_LI3=p(7/6_{#0,#5})",,,,,,,,,,,,,,,,,,,,,,,,,
LI-4,Hegu,Large Intestine,"On the dorsum of the hand, radial to themidpoint of the second metacarpal bone","Releases the exterior for wind-cold or wind-heat syndromes
Strengthens the wei qi, improves immunity
Headache, especially frontal a/or sinus (yangming area).
Chronic Pain","p_LI4=p(1/3_{p(3/5_{#1,#2}), #5})","p_LI4=p(1/3_{p(3/5_{#1,#2}), #5})",,,,,,,,,,,,,,,,,,,,,,,,,
LU-11,Shaoshang,Lung,"On the thumb, radial to the distal phalanx,0.1 f-cun proximal-lateral to the radialcorner of the thumb nail, at the intersectionof the vertical line of the radial border andthe horizontal line of the base of the thumbnail.","Extreme sore throat (may bleed point to reduce heat).
Revival point especially from wind-stroke.","t_d = ∥p(#3) - p(#4)∥
p_LU11= d⊥(p(#3), p(#4), p(2/3_{#3,#4}), 1/3*t_d)","t_d = ∥p(#3) - p(#4)∥
p_LU11= d⊥(p(#3), p(#4), p(2/3_{#3,#4}), 1/3*t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
LU-9,Taiyuan,Lung,"On the anterolateral aspect of the wrist,between the radial styloid process and thescaphoid bone, in the depression ulnar tothe abductor pollicis longus tendon.","Palpitations.
Wrist pain, arm pain along meridian.
Hui Meeting Point of the Vessls - circulation issues, clarifying an indescernible pulse (for diagnosis).
Main treatment point of Lung Sho pattern (with SP 3)","p_LU9= d⊥(p(#0), p(#1), p(3/5_{#1,#0}), 1/5*b_d)","p_LU9= d⊥(p(#0), p(#1), p(3/5_{#1,#0}), -1/5*b_d)",,,,,,,,,,,,,,,,,,,,,,,,,
PC-9,Zhongchong,Pericardium,"On the middle finger, at the centre of the tipof the middle finger.","Jing Well Point for clearing heat in the Heart.
Stiff tongue, speech disorders, especially those arising after a stroke.
Restoring consciousness.","t_d = ∥p(#11) - p(#12)∥
p_PC9= p(#11) +(p(#12)  - p(#11)) * (5/4*t_d)","t_d = ∥p(#11) - p(#12)∥
p_PC9= p(#11) +(p(#12)  - p(#11)) * (5/4*t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
SI-1,Shaoze,Small Intestine,"On the little finger, ulnar to the distalphalanx, 0.1 f-cun proximal-medial to theulnar corner of the little fingernail, at theintersection of the vertical line of ulnarborder of the nail and horizontal line of thebase of the little fingernail.","Breast disorders of any etiology, insufficient lactation, mastitis, breast abscess, cysts.
Local point for problems of the little finger and the course of the channel - pain and/or weakness of the arm and/or shoulder.  ","p_SI1=d⊥(p(#19), p(#20), p(2/3_{#19,#20}), 1/5 *f_cun)","p_SI1= d⊥(p(#19), p(#20), p(2/3_{#19,#20}), -1/5 *f_cun)",,,,,,,,,,,,,,,,,,,,,,,,,
SI-2,Qiangu,Small Intestine,"On the little finger, in the depression distalto the ulnar side of the fifth metacarpophalangeal joint, at the border between the redand white flesh.","Local point for pain, swelling, numbness of the fingers.  As the water point it will remove heat - febrile disease, hot palms, darker urine.
Clear heat from the opposite end of the channel, tinnitus, headache, sore throat, neck, ear and/or eye pain and/or swelling.  ","p_SI2= p(1/5_{#17,#18})","p_SI2= p(1/5_{#17,#18})",,,,,,,,,,,,,,,,,,,,,,,,,
SI-3,Houxi,Small Intestine,"On the dorsum of the hand, in the depression proximal to the ulnar side of the fifthmetacarpophalangeal joint, at the borderbetween the red and white flesh.","Clears heat and excess from the head, ears and eyes, eye redness, inflammation, visual dizziness, earache, tinnitus, sore throat.
Calms the spirit, anxiety, manic depression.  ","p_SI3=p(6/7_{#0,#17})","p_SI3=p(6/7_{#0,#17})",,,,,,,,,,,,,,,,,,,,,,,,,
