                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 0.9286,                 2.4146,                0.14529,                0.58001,                 1.3739,                0.77839,                0.77851,                0.68641,                0.19937,                 0.9701,                0.97025,                0.96324,                0.48585,                 2.7315,                 1.8818,                 0.0701,                0.86232,                 3.5337,              0.0092841,              0.0092841,              0.0092841
                     55,                0.92649,                 2.3812,                0.14417,                0.57389,                 1.3722,                0.78502,                0.78512,                0.67989,                0.15997,                0.98334,                0.98347,                0.97234,                0.51192,                 2.7927,                 1.7664,                0.06872,                0.88664,                 3.3523,               0.009257,               0.009257,               0.009257
                     56,                0.93067,                 2.3882,                0.14537,                0.58033,                 1.3762,                0.74207,                0.74215,                0.65222,                0.18273,                0.98667,                0.98678,                0.98036,                0.55542,                 2.7486,                 1.6471,                0.05574,                0.82822,                 3.3922,              0.0092294,              0.0092294,              0.0092294
                     57,                 0.9283,                 2.3884,                0.14389,                0.56866,                 1.3659,                0.72389,                0.72397,                0.61825,                0.16714,                0.98171,                0.98182,                0.97555,                0.54128,                 2.9091,                 1.6749,                0.04768,                0.89548,                 3.7014,              0.0092014,              0.0092014,              0.0092014
                     58,                0.93594,                 2.3686,                0.14419,                0.58244,                 1.3727,                0.75523,                0.75537,                0.66287,                0.20025,                0.97998,                0.98017,                0.97346,                0.54927,                 2.8179,                 1.7054,                0.05943,                0.87807,                 3.4998,               0.009173,               0.009173,               0.009173
                     59,                0.91995,                 2.3862,                0.14369,                0.57063,                 1.3626,                0.71062,                0.71074,                0.63983,                0.19689,                0.98495,                0.98512,                 0.9835,                0.53198,                 2.8674,                 1.8327,                0.07344,                0.85057,                 3.8527,               0.009144,               0.009144,               0.009144
                     60,                0.91582,                  2.371,                 0.1414,                0.56933,                 1.3631,                 0.7652,                0.76529,                0.70059,                0.22175,                0.98831,                0.98843,                0.98413,                0.55763,                 2.7849,                 1.8465,                0.07051,                0.83153,                 3.4577,              0.0091147,              0.0091147,              0.0091147
                     61,                0.91868,                 2.3297,                0.14237,                0.56346,                 1.3652,                0.78712,                0.78839,                0.73323,                0.22191,                 0.9817,                0.98182,                0.97479,                0.58058,                 2.6738,                 1.6969,                0.05785,                0.82744,                 3.4239,              0.0090849,              0.0090849,              0.0090849
                     62,                  0.915,                 2.2795,                0.14083,                0.56409,                  1.365,                0.77181,                 0.7719,                0.67205,                0.19708,                0.98997,                0.99008,                0.98924,                0.56023,                 2.7676,                 1.7015,                0.06903,                0.80184,                 3.5462,              0.0090546,              0.0090546,              0.0090546
                     63,                0.91025,                 2.3115,                0.14004,                0.56883,                 1.3557,                0.82469,                0.82479,                0.75829,                0.22916,                0.97344,                0.97355,                0.96371,                0.55806,                 2.5869,                 1.6677,                0.05762,                0.82014,                 3.3086,              0.0090239,              0.0090239,              0.0090239
